kodHDg;nazovHDg;kodMS;nazovMS
S9333;Vykĺbenie iných a bližšie neurčených častí nohy, tarzometatarzálny kĺb;S52-58;Ľahké poranenia pohybového systému
S9334;Vykĺbenie iných a bližšie neurčených častí nohy, metatarzálne (kosti), kĺb bližšie neurčený;S52-58;Ľahké poranenia pohybového systému
S9338;Vykĺbenie iných a bližšie neurčených častí nohy, iné;S52-58;Ľahké poranenia pohybového systému
S9340;Vyvrtnutie a natiahnutie členka, časť bližšie neurčená;S52-59;Stredne ťažké poranenia pohybového systému
S9341;Vyvrtnutie a natiahnutie členka, lig.deltoideum;S52-59;Stredne ťažké poranenia pohybového systému
S9342;Vyvrtnutie a natiahnutie členka, lig.calcaneofibulare;S52-59;Stredne ťažké poranenia pohybového systému
S9343;Vyvrtnutie a natiahnutie členka, lig.tibiofibulare (anterior) (posterior), distálne;S52-59;Stredne ťažké poranenia pohybového systému
S9348;Vyvrtnutie a natiahnutie členka, iná časť;S52-59;Stredne ťažké poranenia pohybového systému
S935;Vyvrtnutie a natiahnutie prsta (prstov) nohy;S52-58;Ľahké poranenia pohybového systému
S936;Vyvrtnutie a natiahnutie inej a bližšie neurčenej časti nohy;S52-58;Ľahké poranenia pohybového systému
S940;Poranenie n. plantaris lateralis;S73-37;Ochorenia mozgových a periférnych nervov
S941;Poranenie n. plantaris medialis;S73-37;Ochorenia mozgových a periférnych nervov
S942;Poranenie n. peroneus profundus v úrovni členka a nohy;S73-37;Ochorenia mozgových a periférnych nervov
S943;Poranenie senzorických kožných nervov v úrovni členka a nohy;S73-37;Ochorenia mozgových a periférnych nervov
S947;Poranenie viacerých nervov v úrovni členka a nohy;S73-37;Ochorenia mozgových a periférnych nervov
S948;Poranenie iného nervu v úrovni členka a nohy;S73-37;Ochorenia mozgových a periférnych nervov
S949;Poranenie bližšie neurčeného nervu v úrovni členka a nohy;S73-37;Ochorenia mozgových a periférnych nervov
S950;Poranenie a.dorsalis pedis;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S951;Poranenie a.plantaris pedis;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S952;Poranenie v. dorsalis pedis;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S957;Poranenie viacerých krvných ciev v úrovni členka a nohy;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S958;Poranenie inej krvnej cievy v úrovni členka a nohy;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S959;Poranenie bližšie neurčenej krvnej cievy v úrovni členka a nohy;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S960;Poranenie svalu a šľachy dlhého ohýbača palca (m. flexor hallucis longus) v úrovni členka a nohy;S52-58;Ľahké poranenia pohybového systému
S961;Poranenie svalu a šľachy dlhého vystierača palca (m. extensor hallucis longus) v úrovni členka a nohy;S52-58;Ľahké poranenia pohybového systému
S962;Poranenie krátkych svalov a šliach v úrovni členka a nohy;S52-58;Ľahké poranenia pohybového systému
S967;Poranenie viacerých svalov a šliach v úrovni členka a nohy;S52-58;Ľahké poranenia pohybového systému
S968;Poranenie iných svalov a šliach v úrovni členka a nohy;S52-58;Ľahké poranenia pohybového systému
S969;Poranenie bližšie neurčeného svalu a šľachy v úrovni členka a nohy;S52-59;Stredne ťažké poranenia pohybového systému
S970;Drvivé poranenie členka;S52-60;Ťažké poranenia pohybového systému
S971;Drvivé poranenie prsta (prstov) nohy;S52-60;Ťažké poranenia pohybového systému
S978;Drvivé poranenie inej časti členka a nohy;S52-60;Ťažké poranenia pohybového systému
S980;Úrazová amputácia nohy v úrovni členka;S52-60;Ťažké poranenia pohybového systému
S981;Úrazová amputácia jedného prsta nohy;S52-60;Ťažké poranenia pohybového systému
S982;Úrazová amputácia dvoch alebo viacerých prstov nohy;S52-60;Ťažké poranenia pohybového systému
S983;Úrazová amputácia inej časti nohy;S52-60;Ťažké poranenia pohybového systému
S984;Úrazová amputácia nohy v bližšie neurčenej úrovni;S52-60;Ťažké poranenia pohybového systému
S997;Viaceré poranenia členka a nohy;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S998;Iné poranenie členka a nohy, bližšie určené;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S999;Poranenie členka a nohy, bližšie neurčené;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T000;Povrchové poranenie postihujúce hlavu aj krk;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T001;Povrchové poranenie postihujúce hrudník aj brucho, hrudník aj driek, alebo hrudník aj panvu;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T002;Povrchové poranenie postihujúce viaceré oblasti hornej končatiny (horných končatín);S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T003;Povrchové poranenie postihujúce viaceré oblasti dolnej končatiny (dolných končatín);S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T006;Povrchové poranenie postihujúce viaceré oblasti hornej končatiny (horných končatín) a viaceré oblasti dolnej končatiny (dolných končatín);S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T008;Povrchové poranenie postihujúce iné kombinácie oblastí tela;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T009;Viaceré povrchové poranenia, bližšie neurčené;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T010;Otvorená rana postihujúca hlavu aj krk;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T011;Otvorená rana postihujúca hrudník aj brucho, hrudník aj driek, alebo hrudník aj panvu;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T012;Otvorená rana postihujúca viaceré oblasti hornej končatiny (horných končatín);S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T013;Otvorená rana postihujúca viaceré oblasti dolnej končatiny (dolných končatín);S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T016;Otvorená rana postihujúca viaceré oblasti hornej končatiny (horných končatín) a viaceré oblasti dolnej končatiny (dolných končatín);S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T018;Otvorená rana postihujúca inú kombináciu oblastí tela;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T019;Viaceré otvorené rany, bližšie neurčené;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T0200;Zlomeniny postihujúce hlavu aj krk, zatvorené alebo bez bližšieho určenia;S52-51;Intrakraniálne poranenia a zlomeniny kránia
T0201;Zlomeniny postihujúce hlavu aj krk, otvorené;S52-51;Intrakraniálne poranenia a zlomeniny kránia
T0210;Zlomeniny postihujúce hrudník aj driekovokrížovú oblasť, alebo hrudník aj panvu, zatvorené alebo bez bližšieho určenia;S52-56;Ťažké poranenia
T0211;Zlomeniny postihujúce hrudník aj driekovokrížovú oblasť, alebo hrudník aj panvu, otvorené;S52-56;Ťažké poranenia
T0220;Zlomeniny postihujúce viaceré oblasti jednej hornej končatiny, zatvorené alebo bez bližšieho určenia;S52-59;Stredne ťažké poranenia pohybového systému
T0221;Zlomeniny postihujúce viaceré oblasti jednej hornej končatiny, otvorené;S52-59;Stredne ťažké poranenia pohybového systému
T0230;Zlomeniny postihujúce viaceré oblasti jednej dolnej končatiny, zatvorené alebo bez bližšieho určenia;S52-59;Stredne ťažké poranenia pohybového systému
T0231;Zlomeniny postihujúce viaceré oblasti jednej dolnej končatiny, otvorené;S52-59;Stredne ťažké poranenia pohybového systému
T0240;Zlomeniny postihujúce viaceré oblasti oboch horných končatín, zatvorené alebo bez bližšieho určenia;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T0241;Zlomeniny postihujúce viaceré oblasti oboch horných končatín, otvorené;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T0250;Zlomeniny viacerých oblastí oboch dolných končatín, zatvorené alebo bez bližšieho určenia;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T0251;Zlomeniny viacerých oblastí oboch dolných končatín, otvorené;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T0260;Zlomeniny postihujúce viaceré oblasti hornej končatiny (horných končatín) a viaceré oblasti dolnej končatiny (dolných končatín), zatvorené alebo bez bližšieho určenia;S52-56;Ťažké poranenia
T0261;Zlomeniny viacerých oblastí hornej končatiny (horných končatín) a viacerých oblastí dolnej končatiny (dolných končatín), otvorené;S52-56;Ťažké poranenia
T0270;Zlomeniny postihujúce hrudník s driekom a končatinou (končatinami) alebo hrudník s panvou a končatinou (končatinami), zatvorené alebo bez bližšieho určenia;S52-56;Ťažké poranenia
T0271;Zlomeniny postihujúce hrudník s driekom a končatinou (končatinami) alebo hrudník s panvou a končatinou (končatinami), otvorené;S52-56;Ťažké poranenia
T0280;Zlomeniny postihujúce iné kombinácie oblastí tela, zatvorené alebo bez bližšieho určenia;S52-56;Ťažké poranenia
T0281;Zlomeniny postihujúce iné kombinácie oblastí tela, otvorené;S52-56;Ťažké poranenia
T0290;Bližšie neurčené viaceré zlomeniny, zatvorené alebo bez bližšieho určenia;S52-59;Stredne ťažké poranenia pohybového systému
T0291;Bližšie neurčené viaceré zlomeniny, otvorené;S52-59;Stredne ťažké poranenia pohybového systému
T030;Vykĺbenia, vyvrtnutia a natiahnutia postihujúce hlavu aj krk;S52-59;Stredne ťažké poranenia pohybového systému
T031;Vykĺbenia, vyvrtnutia a natiahnutia postihujúce hrudník aj driek, alebo hrudník aj panvu;S52-59;Stredne ťažké poranenia pohybového systému
T032;Vykĺbenia, vyvrtnutia a natiahnutia postihujúce viaceré oblasti hornej končatiny (horných končatín);S52-59;Stredne ťažké poranenia pohybového systému
T033;Vykĺbenia, vyvrtnutia a natiahnutia postihujúce viaceré oblasti dolnej končatiny (dolných končatín);S52-59;Stredne ťažké poranenia pohybového systému
T034;Vykĺbenia, vyvrtnutia a natiahnutia postihujúce viaceré oblasti hornej aj dolnej končatiny (horných aj dolných končatín);S52-59;Stredne ťažké poranenia pohybového systému
T038;Vykĺbenia, vyvrtnutia a natiahnutia postihujúce iné kombinácie telesných oblastí;S52-59;Stredne ťažké poranenia pohybového systému
T039;Viaceré vykĺbenia, vyvrtnutia a natiahnutia, bližšie neurčené;S52-59;Stredne ťažké poranenia pohybového systému
T040;Drvivé poranenie postihujúce hlavu aj krk;S52-60;Ťažké poranenia pohybového systému
T041;Drvivé poranenie postihujúce hrudník aj brucho, hrudník aj driek, hrudník aj panvu;S52-60;Ťažké poranenia pohybového systému
T042;Drvivé poranenie postihujúce viaceré oblasti hornej končatiny (horných končatín);S52-60;Ťažké poranenia pohybového systému
T043;Drvivé poranenie postihujúce viaceré oblasti dolnej končatiny (dolných končatín);S52-60;Ťažké poranenia pohybového systému
T044;Drvivé poranenie postihujúce viaceré oblasti hornej aj dolnej končatiny (horných aj dolných končatín);S52-60;Ťažké poranenia pohybového systému
T047;Drvivé poranenia postihujúce hrudník, brucho aj končatinu (končatiny), alebo hrudník, driek aj končatinu (končatiny), alebo hrudník, panvu aj končatinu (končatiny);S52-60;Ťažké poranenia pohybového systému
T048;Drvivé poranenia postihujúce iné kombinácie telesných oblastí;S52-60;Ťažké poranenia pohybového systému
T049;Viaceré drvivé poranenia, bližšie neurčené;S52-60;Ťažké poranenia pohybového systému
T050;Úrazová amputácia oboch rúk;S52-60;Ťažké poranenia pohybového systému
T051;Úrazová amputácia jednej ruky a druhej hornej končatiny (ktorákoľvek úroveň okrem ruky);S52-60;Ťažké poranenia pohybového systému
T052;Úrazová amputácia oboch horných končatín (ktorákoľvek úroveň);S52-60;Ťažké poranenia pohybového systému
T053;Úrazová amputácia oboch nôh;S52-60;Ťažké poranenia pohybového systému
T054;Úrazová amputácia jednej nohy a druhej dolnej končatiny (ktorákoľvek úroveň okrem nohy);S52-60;Ťažké poranenia pohybového systému
T055;Úrazová amputácia oboch dolných končatín (ktorákoľvek úroveň);S52-60;Ťažké poranenia pohybového systému
T056;Úrazová amputácia hornej aj dolnej končatiny (končatín) v akejkoľvek kombinácii (ktorákoľvek úroveň);S52-60;Ťažké poranenia pohybového systému
T058;Úrazová amputácia postihujúca iné kombinácie telesných oblastí;S52-60;Ťažké poranenia pohybového systému
T059;Viaceré úrazové amputácie, bližšie neurčené;S52-60;Ťažké poranenia pohybového systému
T060;Poranenie mozgu a hlavových nervov kombinované s poranením nervov a miechy v úrovni krku;S52-60;Ťažké poranenia pohybového systému
T061;Poranenie nervov a miechy postihujúce iné viaceré telesné oblasti;S52-60;Ťažké poranenia pohybového systému
T062;Poranenie nervov postihujúce viaceré oblasti tela;S73-37;Ochorenia mozgových a periférnych nervov
T063;Poranenie krvných ciev postihujúce viaceré oblasti;S52-56;Ťažké poranenia
T064;Poranenie svalov a šliach postihujúce viaceré oblasti tela;S52-59;Stredne ťažké poranenia pohybového systému
T065;Poranenie vnútrohrudníkových aj vnútrobrušných orgánov, alebo vnútrohrudníkových aj panvových orgánov;S52-56;Ťažké poranenia
T068;Iné bližšie určené poranenie postihujúce viaceré oblasti tela;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T07;Viaceré poranenia, bližšie neurčené;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T080;Zlomenina chrbtice v bližšie neurčenej úrovni, zatvorená alebo bez bližšieho určenia;S52-55;Poranenia miechy a chrbtice
T081;Zlomenina chrbtice v bližšie neurčenej úrovni, otvorená;S52-55;Poranenia miechy a chrbtice
T0900;Povrchové poranenie trupu v bližšie neurčenej úrovni, druh poranenia bližšie neurčený;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T0901;Povrchové poranenie trupu v bližšie neurčenej úrovni: odrenina;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T0902;Povrchové poranenie trupu v bližšie neurčenej úrovni: tvorba pľuzgierov (netermických);S61-04;Iné ochorenia kože, podkožia a slizníc
T0903;Povrchové poranenie trupu v bližšie neurčenej úrovni: uštipnutie hmyzom alebo vpich (nejedovatý);S61-04;Iné ochorenia kože, podkožia a slizníc
T0904;Povrchové poranenie trupu v bližšie neurčenej úrovni: povrchové cudzie teleso (úlomky);S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T0905;Povrchové poranenie trupu v bližšie neurčenej úrovni: pomliaždenie;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T0908;Povrchové poranenie trupu v bližšie neurčenej úrovni: iné;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T091;Otvorená rana trupu v bližšie neurčenej úrovni;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T092;Vykĺbenie, vyvrtnutie a natiahnutie bližšie neurčeného kĺbu a väzu trupu;S52-55;Poranenia miechy a chrbtice
T093;Poranenie miechy v bližšie neurčenej úrovni;S52-55;Poranenia miechy a chrbtice
T094;Poranenie bližšie neurčeného nervu, miechového koreňa a nervovej spleti trupu;S73-37;Ochorenia mozgových a periférnych nervov
T095;Poranenie bližšie neurčeného svalu a šľachy trupu;S52-59;Stredne ťažké poranenia pohybového systému
T096;Úrazová amputácia trupu v bližšie neurčenej úrovni;S52-60;Ťažké poranenia pohybového systému
T098;Iné bližšie určené poranenia trupu v bližšie neurčenej úrovni;S52-56;Ťažké poranenia
T099;Poranenie trupu v bližšie neurčenej úrovni, bližšie neurčené;S52-56;Ťažké poranenia
T100;Zlomenina hornej končatiny v bližšie neurčenej úrovni, zatvorená alebo bez bližšieho určenia;S52-59;Stredne ťažké poranenia pohybového systému
T101;Zlomenina hornej končatiny v bližšie neurčenej úrovni, otvorená;S52-59;Stredne ťažké poranenia pohybového systému
T1100;Povrchové poranenie hornej končatiny v bližšie neurčenej úrovni, druh poranenia bližšie neurčený;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T1101;Povrchové poranenie hornej končatiny v bližšie neurčenej úrovni: odrenina;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T1102;Povrchové poranenie hornej končatiny v bližšie neurčenej úrovni: tvorba pľuzgierov (netermických);S61-04;Iné ochorenia kože, podkožia a slizníc
T1103;Povrchové poranenie hornej končatiny v bližšie neurčenej úrovni: uštipnutie hmyzom alebo vpich (nejedovatý);S61-04;Iné ochorenia kože, podkožia a slizníc
T1104;Povrchové poranenie hornej končatiny v bližšie neurčenej úrovni: povrchové cudzie teleso (úlomky);S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T1105;Povrchové poranenie hornej končatiny v bližšie neurčenej úrovni: pomliaždenie;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T1108;Povrchové poranenie hornej končatiny v bližšie neurčenej úrovni: iné;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T111;Otvorená rana hornej končatiny v bližšie neurčenej úrovni;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T112;Vykĺbenie, vyvrtnutie a natiahnutie bližšie neurčeného kĺbu a väzu hornej končatiny, v bližšie neurčenej úrovni;S52-59;Stredne ťažké poranenia pohybového systému
T113;Poranenie bližšie neurčeného nervu hornej končatiny, v bližšie neurčenej úrovni;S73-37;Ochorenia mozgových a periférnych nervov
T114;Poranenie bližšie neurčenej cievy hornej končatiny, v bližšie neurčenej úrovni;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T115;Poranenie bližšie neurčeného svalu a šľachy hornej končatiny, v bližšie neurčenej úrovni;S52-59;Stredne ťažké poranenia pohybového systému
T116;Úrazová amputácia hornej končatiny, v bližšie neurčenej úrovni;S52-60;Ťažké poranenia pohybového systému
T118;Iné bližšie určené poranenie hornej končatiny, v bližšie neurčenej úrovni;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T119;Bližšie neurčené poranenie hornej končatiny, v bližšie neurčenej úrovni;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T120;Zlomenina dolnej končatiny, v bližšie neurčenej úrovni, zatvorená alebo bez bližšieho určenia;S52-59;Stredne ťažké poranenia pohybového systému
T121;Zlomenina dolnej končatiny, v bližšie neurčenej úrovni, otvorená;S52-59;Stredne ťažké poranenia pohybového systému
T1300;Povrchové poranenie dolnej končatiny, v bližšie neurčenej úrovni, druh poranenia bližšie neurčený;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T1301;Povrchové poranenie dolnej končatiny, v bližšie neurčenej úrovni: odrenina;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T1302;Povrchové poranenie dolnej končatiny, v bližšie neurčenej úrovni: tvorba pľuzgierov (netermických);S61-04;Iné ochorenia kože, podkožia a slizníc
T1303;Povrchové poranenie dolnej končatiny, v bližšie neurčenej úrovni: uštipnutie hmyzom alebo vpich (nejedovatý);S61-04;Iné ochorenia kože, podkožia a slizníc
T1304;Povrchové poranenie dolnej končatiny, v bližšie neurčenej úrovni: povrchové cudzie teleso (úlomky);S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T1305;Povrchové poranenie dolnej končatiny, v bližšie neurčenej úrovni: pomliaždenie;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T1308;Povrchové poranenie dolnej končatiny, v bližšie neurčenej úrovni: iné;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T131;Otvorená rana dolnej končatiny, v bližšie neurčenej úrovni;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T132;Vykĺbenie, vyvrtnutie a natiahnutie bližšie neurčeného kĺbu a väzu dolnej končatiny, v bližšie neurčenej úrovni;S52-59;Stredne ťažké poranenia pohybového systému
T133;Poranenie bližšie neurčeného nervu dolnej končatiny, v bližšie neurčenej úrovni;S73-37;Ochorenia mozgových a periférnych nervov
T134;Poranenie bližšie neurčenej krvnej cievy dolnej končatiny, v bližšie neurčenej úrovni;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T135;Poranenie bližšie neurčeného svalu a šľachy dolnej končatiny, v bližšie neurčenej úrovni;S52-59;Stredne ťažké poranenia pohybového systému
T136;Úrazová amputácia dolnej končatiny, v bližšie neurčenej úrovni;S52-60;Ťažké poranenia pohybového systému
T138;Iné bližšie určené poranenie dolnej končatiny, v bližšie neurčenej úrovni;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T139;Bližšie neurčené poranenie dolnej končatiny, v bližšie neurčenej úrovni;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T1400;Povrchové poranenie: oblasť bližšie neurčená tela, druh poranenia bližšie neurčený;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T1401;Povrchové poranenie: oblasť bližšie neurčená tela: odrenina;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T1402;Povrchové poranenie: oblasť bližšie neurčená tela: tvorba pľuzgierov (netermických);S61-04;Iné ochorenia kože, podkožia a slizníc
T1403;Povrchové poranenie: oblasť bližšie neurčená tela: uštipnutie hmyzom alebo vpich (nejedovatý);S61-04;Iné ochorenia kože, podkožia a slizníc
T1404;Povrchové poranenie: oblasť bližšie neurčená tela: povrchové cudzie teleso (úlomky);S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T1405;Povrchové poranenie: oblasť bližšie neurčená tela: pomliaždenie;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T1408;Povrchové poranenie: oblasť bližšie neurčená tela: iné;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T141;Otvorená rana: oblasť bližšie neurčená tela;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T1420;Zlomenina: oblasť bližšie neurčená tela, zatvorená alebo bez bližšieho určenia;S52-59;Stredne ťažké poranenia pohybového systému
T1421;Zlomenina: oblasť bližšie neurčená tela, otvorená;S52-59;Stredne ťažké poranenia pohybového systému
T143;Vykĺbenie, vyvrtnutie a natiahnutie: oblasť bližšie neurčená tela;S52-59;Stredne ťažké poranenia pohybového systému
T144;Poranenie nervu (nervov): oblasť bližšie neurčená tela;S73-37;Ochorenia mozgových a periférnych nervov
T145;Poranenie krvnej cievy (ciev): oblasť bližšie neurčená tela;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T146;Poranenie svalov a šliach: oblasť bližšie neurčená tela;S52-59;Stredne ťažké poranenia pohybového systému
T147;Drvivé poranenie a úrazová amputácia: oblasť bližšie neurčená tela;S52-60;Ťažké poranenia pohybového systému
T148;Iné poranenie: oblasť bližšie neurčená tela;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T149;Poranenie, bližšie neurčené;S52-50;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
T150;Cudzie teleso v rohovke;S62-49;Poranenia oka a očných adnexov
T151;Cudzie teleso v spojovkovom vaku;S62-49;Poranenia oka a očných adnexov
T158;Cudzie teleso na inom mieste a na viacerých miestach vonkajšieho oka;S62-49;Poranenia oka a očných adnexov
T159;Cudzie teleso vo vonkajšom oku, miesto bližšie neurčené;S62-49;Poranenia oka a očných adnexov
T16;Cudzie teleso v uchu;S53-30;Iné ochorenia ucha, nosa, úst a krku
T170;Cudzie teleso v prinosovej dutine;S53-30;Iné ochorenia ucha, nosa, úst a krku
T171;Cudzie teleso v nozdre;S53-30;Iné ochorenia ucha, nosa, úst a krku
T172;Cudzie teleso v hltane;S53-30;Iné ochorenia ucha, nosa, úst a krku
T173;Cudzie teleso v hrtane;S53-30;Iné ochorenia ucha, nosa, úst a krku
T174;Cudzie teleso v priedušnici;S65-11;Iné ochorenie dýchacích orgánov IV
T175;Cudzie teleso v prieduške;S65-11;Iné ochorenie dýchacích orgánov IV
T178;Cudzie teleso na inom mieste a na viacerých miestach dýchacej sústavy;S65-11;Iné ochorenie dýchacích orgánov IV
T179;Cudzie teleso bez bližšieho určenia miesta dýchacej sústavy;S65-11;Iné ochorenie dýchacích orgánov IV
T180;Cudzie teleso v ústach;S54-06;Ochorenia zubov a dutiny ústnej
T181;Cudzie teleso v pažeráku;S66-46;Iné ochorenia GIT I
T182;Cudzie teleso v žalúdku;S66-46;Iné ochorenia GIT I
T183;Cudzie teleso v tenkom čreve;S66-46;Iné ochorenia GIT I
T184;Cudzie teleso v hrubom čreve;S66-46;Iné ochorenia GIT I
T185;Cudzie teleso v anuse a rekte;S66-46;Iné ochorenia GIT I
T188;Cudzie teleso na inom mieste a na viacerých miestach tráviacej sústavy;S66-46;Iné ochorenia GIT I
T189;Cudzie teleso bez bližšieho určenia miesta tráviacej sústavy;S66-46;Iné ochorenia GIT I
T190;Cudzie teleso v močovej rúre;S68-16;Ochorenia a poruchy močových orgánov III
T191;Cudzie teleso v močovom mechúre;S68-16;Ochorenia a poruchy močových orgánov III
T192;Cudzie teleso vo vulve a pošve;S60-18;Poruchy menštruačného cyklu a iné ochorenia ženských pohlavných orgánov
T193;Cudzie teleso v maternici (ktorejkoľvek časti);S60-18;Poruchy menštruačného cyklu a iné ochorenia ženských pohlavných orgánov
T198;Cudzie teleso na inom mieste a na viacerých miestach močovopohlavnej sústavy;S59-55;Iné ochorenia mužských pohlavných orgánov
T199;Cudzie teleso bez bližšieho určenia miesta močovopohlavnej sústavy;S59-55;Iné ochorenia mužských pohlavných orgánov
T200;Popálenina hlavy a krku bližšie neurčeného stupňa;S16-10;Menej ťažké popáleniny a poleptania
T201;Popálenina hlavy a krku 1. stupňa;S16-10;Menej ťažké popáleniny a poleptania
T2020;Popálenina hlavy a krku 2a. stupňa;S16-10;Menej ťažké popáleniny a poleptania
T2021;Popálenina hlavy a krku 2b. stupňa;S16-10;Menej ťažké popáleniny a poleptania
T203;Popálenina hlavy a krku 3. stupňa;S16-06;Ťažké popáleniny a poleptania
T204;Poleptanie hlavy a krku bližšie neurčeného stupňa;S16-10;Menej ťažké popáleniny a poleptania
T205;Poleptanie hlavy a krku 1. stupňa;S16-10;Menej ťažké popáleniny a poleptania
T2060;Poleptanie hlavy a krku 2a. stupňa;S16-10;Menej ťažké popáleniny a poleptania
T2061;Poleptanie hlavy a krku 2b. stupňa;S16-10;Menej ťažké popáleniny a poleptania
T207;Poleptanie hlavy a krku 3. stupňa;S16-06;Ťažké popáleniny a poleptania
T2100;Popálenina trupu bližšie neurčeného stupňa, časť bližšie neurčená;S16-10;Menej ťažké popáleniny a poleptania
T2101;Popálenina trupu bližšie neurčeného stupňa, prsník;S16-10;Menej ťažké popáleniny a poleptania
T2102;Popálenina trupu bližšie neurčeného stupňa, stena hrudníka s výnimkou prsníka a bradavky;S16-10;Menej ťažké popáleniny a poleptania
T2103;Popálenina trupu bližšie neurčeného stupňa, brušná stena;S16-10;Menej ťažké popáleniny a poleptania
T2104;Popálenina trupu bližšie neurčeného stupňa, chrbát (ktorákoľvek časť);S16-10;Menej ťažké popáleniny a poleptania
T2105;Popálenina trupu bližšie neurčeného stupňa, vonkajšie genitálie;S16-10;Menej ťažké popáleniny a poleptania
T2109;Popálenina trupu bližšie neurčeného stupňa, iná časť;S16-10;Menej ťažké popáleniny a poleptania
T2110;Popálenina trupu 1. stupňa, časť bližšie neurčená;S16-10;Menej ťažké popáleniny a poleptania
T2111;Popálenina trupu 1. stupňa, prsník;S16-10;Menej ťažké popáleniny a poleptania
T2112;Popálenina trupu 1. stupňa, stena hrudníka s výnimkou prsníka a bradavky;S16-10;Menej ťažké popáleniny a poleptania
T2113;Popálenina trupu 1. stupňa, brušná stena;S16-10;Menej ťažké popáleniny a poleptania
T2114;Popálenina trupu 1. stupňa, chrbát (ktorákoľvek časť);S16-10;Menej ťažké popáleniny a poleptania
