skupina_diagnoz;kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy
Pneumologické ochorenia - pracovné lekárstvo;j65;Pneumokonióza združená s tuberkulózou
Pneumologické ochorenia - pracovné lekárstvo;j66-;Choroba dýchacích ciest zapríčinená špecifickým organickým prachom
Pneumologické ochorenia - pracovné lekárstvo;j67-;Alergická alveolitída zapríčinená organickým prachom
Pneumologické ochorenia - pracovné lekárstvo;j68-;Choroby dýchacej sústavy zapríčinené chemikáliami, plynmi, dymom a výparmi
Pneumologické ochorenia - pracovné lekárstvo;j69-;Zápal pľúc, zapríčinený tuhými látkami a tekutinami
Pneumologické ochorenia - pracovné lekárstvo;j70-;Choroba dýchacích orgánov zapríčinená inými vonkajšími faktormi
Pneumologické ochorenia - pracovné lekárstvo;j84-;Iná choroba interstícia pľúc
Pneumologické ochorenia - pracovné lekárstvo;j92-;Pohrudnicové zrasty
Prechodný ischemický záchvat a extrakraniálne cievne uzávery;g450-;Vertebrobazilárny syndróm [syndróm vertebrobazilárnej artérie, ]
Prechodný ischemický záchvat a extrakraniálne cievne uzávery;g451-;Syndróm krčnice [a.carotis] (hemisferický)
Prechodný ischemický záchvat a extrakraniálne cievne uzávery;g452-;Syndrómy prívodných mozgových tepien, viacpočetné a obojstranné
Prechodný ischemický záchvat a extrakraniálne cievne uzávery;g454-;Prechodná celková amnézia [amnestická epizóda]
Prechodný ischemický záchvat a extrakraniálne cievne uzávery;g458-;Iná prechodné mozgové ischémie a príbuzné syndrómy
Prechodný ischemický záchvat a extrakraniálne cievne uzávery;g459-;Prechodná mozgová ischémia, bližšie neurčená
Prechodný ischemický záchvat a extrakraniálne cievne uzávery;g46-;Cievne mozgové syndrómy pri mozgových cievnych chorobách (I60-I67†)
Prechodný ischemický záchvat a extrakraniálne cievne uzávery;i65-;Uzáver a zúženie prívodných mozgových tepien, ktoré neviedli k mozgovému infarktu
Prechodný ischemický záchvat a extrakraniálne cievne uzávery;i663;Uzáver a zúženie mozočkových tepien
Reumatologické ochorenia;i00;Reumatická horúčka bez postihnutia srdca
Reumatologické ochorenia;i730;Raynaudov syndróm
Reumatologické ochorenia;i776;Arteritída, bližšie neurčená
Reumatologické ochorenia;l405;Artropatická psoriáza (M07.0-M07.3*, M09.0-*)
Reumatologické ochorenia;l871;Reaktívna perforujúca kolagenóza
Reumatologické ochorenia;m00-;Pyogénna artritída
Reumatologické ochorenia;m011-;Tuberkulózna artritída (A18.0†)
Reumatologické ochorenia;m012-;Artritída pri Lymskej chorobe (A69.2†)
Reumatologické ochorenia;m02-;Reaktívne artropatie
Reumatologické ochorenia;m050-;Feltyho syndróm
Reumatologické ochorenia;m052-;Reumatoidná artritída s vaskulitídou
Reumatologické ochorenia;m053-;Reumatoidná artritída s postihnutím iných orgánov a sústav
Reumatologické ochorenia;m058-;Iná séropozitívna reumatoidná artritída
Reumatologické ochorenia;m059-;Séropozitívna reumatoidná artritída, bližšie neurčená
Reumatologické ochorenia;m06-;Iné reumatoidné artritídy
Reumatologické ochorenia;m08-;Juvenilná artritída
Reumatologické ochorenia;m100-;Idiopatická dna
Reumatologické ochorenia;m102-;Dna zapríčinená liekmi
Reumatologické ochorenia;m104-;Iná sekundárna dna
Reumatologické ochorenia;m109-;Dna, bližšie neurčená
Reumatologické ochorenia;m11-;Iné kryštálové artropatie
Reumatologické ochorenia;m12-;Iné artropatie, bližšie určené
Reumatologické ochorenia;m13-;Iná artritída
Reumatologické ochorenia;m30-;Polyarteriitis nodosa a príbuzné choroby
Reumatologické ochorenia;m310;Hypersenzitívna vaskulitída
Reumatologické ochorenia;m313;Wegenerova granulomatóza
Reumatologické ochorenia;m314;Syndróm aortálneho oblúka [Takayasu syndrom]
Reumatologické ochorenia;m315;Obrovskobunková arteriitída s polymyalgia rheumatica
Reumatologické ochorenia;m316;Iná obrovskobunková arteriitída
Reumatologické ochorenia;m317;Mikroskopická polyangiitída
Reumatologické ochorenia;m318;Iná nekrotizujúca vaskulopatia, bližšie určená
Reumatologické ochorenia;m319;Nekrotizujúca vaskulopatia, bližšie neurčená
Reumatologické ochorenia;m32-;Systémový lupus erythematosus
Reumatologické ochorenia;m33-;Dermatopolymyozitída
Reumatologické ochorenia;m34-;Systémová skleróza
Reumatologické ochorenia;m350;Sicca syndróm [Sjögren syndrom]
Reumatologické ochorenia;m351;Iné prekrývajúce sa syndrómy
Reumatologické ochorenia;m352;Behçetova choroba
Reumatologické ochorenia;m353;Polymyalgia rheumatica
Reumatologické ochorenia;m354;Difúzna (eozinofilná) fasciitída
Reumatologické ochorenia;m355;Multifokálna fibroskleróza
Reumatologické ochorenia;m357;Syndróm hypermobility
Reumatologické ochorenia;m358;Iné systémové postihnutie spojiva, bližšie určené
Reumatologické ochorenia;m359;Systémové postihnutie spojiva, bližšie neurčené
Reumatologické ochorenia;m45-;Ankylozujúca spondylitída [spondylitis ankylosans]
Reumatologické ochorenia;m461;Sakroilitída, nezatriedená inde
Reumatologické ochorenia;m468-;Iná zápalová spondylopatia, bližšie určená:
Reumatologické ochorenia;m469-;Zápalová spondylopatia, bližšie neurčená:
Reumatologické ochorenia;m790-;Reumatizmus, bližšie neurčený
Reumatologické ochorenia;m803-;Pooperačná malabsorpčná osteoporóza s patologickou zlomeninou
Rôzne ochorenia GIT;k222;Nepriechodnosť pažeráka
Rôzne ochorenia GIT;k315;Nepriechodnosť dvanástnika
Rôzne ochorenia GIT;k317;Polyp žalúdka a dvanástnika
Rôzne ochorenia GIT;k627;Radiačná proktitída
Skleróza multiplex;g35-;Roztrúsená skleróza [Sclerosis multiplex, Encephalomyelitis disseminata]
Skleróza multiplex;g36-;Iná akútna roztrúsená [diseminovaná] demyelinizácia
Skleróza multiplex;g37-;Iná demyelinizačná choroba centrálnej nervovej sústavy
Skupina onkologických diagnóz 1;c15-;Zhubný nádor pažeráka
Skupina onkologických diagnóz 1;c16-;Zhubný nádor žalúdka
Skupina onkologických diagnóz 1;c17-;Zhubný nádor tenkého čreva
Skupina onkologických diagnóz 1;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 1;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 1;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 1;c21-;Zhubný nádor anusu a análneho kanála
Skupina onkologických diagnóz 1;c22-;Zhubný nádor pečene a vnútropečeňových žlčových ciest
Skupina onkologických diagnóz 1;c23;Zhubný nádor žlčníka
Skupina onkologických diagnóz 1;c24-;Zhubný nádor iných a bližšie neurčených častí žlčových ciest
Skupina onkologických diagnóz 1;c25-;Zhubný nádor podžalúdkovej žľazy
Skupina onkologických diagnóz 1;c26-;Zhubný nádor iných a nepresne určených tráviacich orgánov
Skupina onkologických diagnóz 1;c49-;Zhubný nádor iného spojivového a mäkkého tkaniva
Skupina onkologických diagnóz 1;c56;Zhubný nádor vaječníka
Skupina onkologických diagnóz 1;c64;Zhubný nádor obličky okrem obličkovej panvičky
Skupina onkologických diagnóz 1;c772;Sekundárny a bližšie neurčený zhubný nádor vnútrobrušnej lymfatickej uzliny
Skupina onkologických diagnóz 1;c773;Sekundárny a bližšie neurčený zhubný nádor lymfatických uzlín pazuchy a hornej končatiny
Skupina onkologických diagnóz 1;c78-;Sekundárny zhubný nádor dýchacích a tráviacich orgánov
Skupina onkologických diagnóz 1;c79-;Sekundárny zhubný nádor na iných a bližšie neurčených miestach
Skupina onkologických diagnóz 10;c15-;Zhubný nádor pažeráka
Skupina onkologických diagnóz 10;c16-;Zhubný nádor žalúdka
Skupina onkologických diagnóz 10;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 10;c78-;Sekundárny zhubný nádor dýchacích a tráviacich orgánov
Skupina onkologických diagnóz 100;c171;Zhubný nádor jejúna
Skupina onkologických diagnóz 100;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 100;d133;Nezhubný nádor iných a bližšie neurčených častí tenkého čreva
Skupina onkologických diagnóz 101;c435;Malígny melanóm trupu
Skupina onkologických diagnóz 101;c445;Iný zhubný nádor kože trupu
Skupina onkologických diagnóz 101;c792;Sekundárny zhubný nádor kože
Skupina onkologických diagnóz 102;c171;Zhubný nádor jejúna
Skupina onkologických diagnóz 102;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 102;d132;Nezhubný nádor dvanástnika
Skupina onkologických diagnóz 103;c172;Zhubný nádor ilea
Skupina onkologických diagnóz 103;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 103;d133;Nezhubný nádor iných a bližšie neurčených častí tenkého čreva
Skupina onkologických diagnóz 104;c56;Zhubný nádor vaječníka
Skupina onkologických diagnóz 104;d27;Nezhubný nádor vaječníka
Skupina onkologických diagnóz 104;d282;Nezhubný nádor vajíčkovodov a väzov maternice
Skupina onkologických diagnóz 105;c189;Zhubný nádor hrubého čreva, bližšie neurčený
Skupina onkologických diagnóz 105;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 105;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 106;c171;Zhubný nádor jejúna
Skupina onkologických diagnóz 106;c172;Zhubný nádor ilea
Skupina onkologických diagnóz 107;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 107;c680;Zhubný nádor močovej rúry
Skupina onkologických diagnóz 108;c750;Zhubný nádor prištítnej žľazy
Skupina onkologických diagnóz 108;d351;Nezhubný nádor prištítnej žľazy
Skupina onkologických diagnóz 109;c170;Zhubný nádor dvanástnika
Skupina onkologických diagnóz 109;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 11;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 11;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 11;c48-;Zhubný nádor retroperitonea a peritonea
Skupina onkologických diagnóz 11;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 11;c495;Zhubný nádor spojivového a mäkkého tkaniva malej panvy
Skupina onkologických diagnóz 11;c538;Zhubný nádor krčka maternice presahujúci viaceré oblasti
Skupina onkologických diagnóz 11;c54-;Zhubný nádor tela maternice
Skupina onkologických diagnóz 11;c66;Zhubný nádor močovodu
Skupina onkologických diagnóz 11;c678;Zhubný nádor močového mechúra presahujúci viaceré oblasti
Skupina onkologických diagnóz 11;c791;Sekundárny zhubný nádor močového mechúra a iných a bližšie neurčených močových orgánov
Skupina onkologických diagnóz 110;c171;Zhubný nádor jejúna
Skupina onkologických diagnóz 110;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 111;c172;Zhubný nádor ilea
Skupina onkologických diagnóz 111;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 112;c170;Zhubný nádor dvanástnika
Skupina onkologických diagnóz 112;d132;Nezhubný nádor dvanástnika
Skupina onkologických diagnóz 113;c58;Zhubný nádor placenty
Skupina onkologických diagnóz 113;d067;Karcinóm in situ inej časti krčka maternice
Skupina onkologických diagnóz 114;c73;Zhubný nádor štítnej žľazy
Skupina onkologických diagnóz 114;d34;Nezhubný nádor štítnej žľazy
Skupina onkologických diagnóz 115;c780;Sekundárny zhubný nádor pľúc
Skupina onkologických diagnóz 116;c787;Sekundárny zhubný nádor pečene a vnútropečeňových žlčovodov
Skupina onkologických diagnóz 117;c170;Zhubný nádor dvanástnika
Skupina onkologických diagnóz 12;c168;Zhubný nádor žalúdka presahujúci viaceré oblasti
Skupina onkologických diagnóz 12;c178;Zhubný nádor tenkého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 12;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 12;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 12;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 12;c222;Hepatoblastóm
Skupina onkologických diagnóz 12;c223;Angiosarkóm pečene
Skupina onkologických diagnóz 12;c224;Iný sarkóm pečene
Skupina onkologických diagnóz 12;c23;Zhubný nádor žlčníka
Skupina onkologických diagnóz 12;c248;Zhubný nádor žlčových ciest presahujúci viaceré oblasti
Skupina onkologických diagnóz 12;c258;Zhubný nádor podžalúdkovej žľazy presahujúci viaceré oblasti
Skupina onkologických diagnóz 12;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 12;c498;Zhubný nádor spojivového a mäkkého tkaniva presahujúci viaceré oblasti
Skupina onkologických diagnóz 12;c64;Zhubný nádor obličky okrem obličkovej panvičky
Skupina onkologických diagnóz 12;c65;Zhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 12;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 12;c787;Sekundárny zhubný nádor pečene a vnútropečeňových žlčovodov
Skupina onkologických diagnóz 12;c790;Sekundárny zhubný nádor obličky a obličkovej panvičky
Skupina onkologických diagnóz 13;c170;Zhubný nádor dvanástnika
Skupina onkologických diagnóz 13;c171;Zhubný nádor jejúna
Skupina onkologických diagnóz 13;c172;Zhubný nádor ilea
Skupina onkologických diagnóz 13;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 13;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 13;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 13;d12-;Nezhubný nádor hrubého čreva, konečníka, anusu a análneho kanála
Skupina onkologických diagnóz 13;d132;Nezhubný nádor dvanástnika
Skupina onkologických diagnóz 14;c168;Zhubný nádor žalúdka presahujúci viaceré oblasti
Skupina onkologických diagnóz 14;c178;Zhubný nádor tenkého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 14;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 14;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 14;c222;Hepatoblastóm
Skupina onkologických diagnóz 14;c223;Angiosarkóm pečene
Skupina onkologických diagnóz 14;c224;Iný sarkóm pečene
Skupina onkologických diagnóz 14;c23;Zhubný nádor žlčníka
Skupina onkologických diagnóz 14;c248;Zhubný nádor žlčových ciest presahujúci viaceré oblasti
Skupina onkologických diagnóz 14;c258;Zhubný nádor podžalúdkovej žľazy presahujúci viaceré oblasti
Skupina onkologických diagnóz 14;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 14;c498;Zhubný nádor spojivového a mäkkého tkaniva presahujúci viaceré oblasti
Skupina onkologických diagnóz 14;c64;Zhubný nádor obličky okrem obličkovej panvičky
Skupina onkologických diagnóz 14;c65;Zhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 14;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 14;c787;Sekundárny zhubný nádor pečene a vnútropečeňových žlčovodov
Skupina onkologických diagnóz 14;c790;Sekundárny zhubný nádor obličky a obličkovej panvičky
Skupina onkologických diagnóz 15;c168;Zhubný nádor žalúdka presahujúci viaceré oblasti
Skupina onkologických diagnóz 15;c178;Zhubný nádor tenkého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 15;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 15;c222;Hepatoblastóm
Skupina onkologických diagnóz 15;c223;Angiosarkóm pečene
Skupina onkologických diagnóz 15;c224;Iný sarkóm pečene
Skupina onkologických diagnóz 15;c23;Zhubný nádor žlčníka
Skupina onkologických diagnóz 15;c248;Zhubný nádor žlčových ciest presahujúci viaceré oblasti
Skupina onkologických diagnóz 15;c258;Zhubný nádor podžalúdkovej žľazy presahujúci viaceré oblasti
Skupina onkologických diagnóz 15;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 15;c498;Zhubný nádor spojivového a mäkkého tkaniva presahujúci viaceré oblasti
Skupina onkologických diagnóz 15;c64;Zhubný nádor obličky okrem obličkovej panvičky
Skupina onkologických diagnóz 15;c65;Zhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 15;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 15;c787;Sekundárny zhubný nádor pečene a vnútropečeňových žlčovodov
Skupina onkologických diagnóz 15;c790;Sekundárny zhubný nádor obličky a obličkovej panvičky
Skupina onkologických diagnóz 16;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 16;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 16;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 16;c48-;Zhubný nádor retroperitonea a peritonea
Skupina onkologických diagnóz 16;c493;Zhubný nádor spojivového a mäkkého tkaniva hrudníka
Skupina onkologických diagnóz 16;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 16;c66;Zhubný nádor močovodu
Skupina onkologických diagnóz 16;c67-;Zhubný nádor močového mechúra
Skupina onkologických diagnóz 16;d300;Nezhubný nádor obličky
Skupina onkologických diagnóz 16;d301;Nezhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 16;d302;Nezhubný nádor močovodu
Skupina onkologických diagnóz 16;d304;Nezhubný nádor močovej rúry
Skupina onkologických diagnóz 17;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 17;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 17;c53-;Zhubný nádor krčka maternice
Skupina onkologických diagnóz 17;c54-;Zhubný nádor tela maternice
Skupina onkologických diagnóz 17;c55;Zhubný nádor bližšie neurčenej časti maternice
Skupina onkologických diagnóz 17;c66;Zhubný nádor močovodu
Skupina onkologických diagnóz 17;c67-;Zhubný nádor močového mechúra
Skupina onkologických diagnóz 18;c15-;Zhubný nádor pažeráka
Skupina onkologických diagnóz 18;c16-;Zhubný nádor žalúdka
Skupina onkologických diagnóz 18;c17-;Zhubný nádor tenkého čreva
Skupina onkologických diagnóz 19;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 19;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 19;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 19;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 19;d12-;Nezhubný nádor hrubého čreva, konečníka, anusu a análneho kanála
Skupina onkologických diagnóz 2;c15-;Zhubný nádor pažeráka
Skupina onkologických diagnóz 2;c16-;Zhubný nádor žalúdka
Skupina onkologických diagnóz 2;c17-;Zhubný nádor tenkého čreva
Skupina onkologických diagnóz 2;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 2;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 2;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 2;c21-;Zhubný nádor anusu a análneho kanála
Skupina onkologických diagnóz 2;c22-;Zhubný nádor pečene a vnútropečeňových žlčových ciest
Skupina onkologických diagnóz 2;c23;Zhubný nádor žlčníka
Skupina onkologických diagnóz 2;c24-;Zhubný nádor iných a bližšie neurčených častí žlčových ciest
Skupina onkologických diagnóz 2;c25-;Zhubný nádor podžalúdkovej žľazy
Skupina onkologických diagnóz 2;c26-;Zhubný nádor iných a nepresne určených tráviacich orgánov
Skupina onkologických diagnóz 2;c49-;Zhubný nádor iného spojivového a mäkkého tkaniva
Skupina onkologických diagnóz 2;c64;Zhubný nádor obličky okrem obličkovej panvičky
Skupina onkologických diagnóz 2;c772;Sekundárny a bližšie neurčený zhubný nádor vnútrobrušnej lymfatickej uzliny
Skupina onkologických diagnóz 2;c773;Sekundárny a bližšie neurčený zhubný nádor lymfatických uzlín pazuchy a hornej končatiny
Skupina onkologických diagnóz 2;c78-;Sekundárny zhubný nádor dýchacích a tráviacich orgánov
Skupina onkologických diagnóz 2;c79-;Sekundárny zhubný nádor na iných a bližšie neurčených miestach
Skupina onkologických diagnóz 20;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 20;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 20;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 20;c48-;Zhubný nádor retroperitonea a peritonea
Skupina onkologických diagnóz 20;c66;Zhubný nádor močovodu
Skupina onkologických diagnóz 20;c67-;Zhubný nádor močového mechúra
Skupina onkologických diagnóz 20;d300;Nezhubný nádor obličky
Skupina onkologických diagnóz 20;d301;Nezhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 20;d302;Nezhubný nádor močovodu
Skupina onkologických diagnóz 20;d304;Nezhubný nádor močovej rúry
Skupina onkologických diagnóz 21;c16-;Zhubný nádor žalúdka
Skupina onkologických diagnóz 21;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 21;c251;Zhubný nádor tela podžalúdkovej žľazy
Skupina onkologických diagnóz 21;c252;Zhubný nádor chvosta podžalúdkovej žľazy
Skupina onkologických diagnóz 22;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 22;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 22;d12-;Nezhubný nádor hrubého čreva, konečníka, anusu a análneho kanála
Skupina onkologických diagnóz 23;c22-;Zhubný nádor pečene a vnútropečeňových žlčových ciest
Skupina onkologických diagnóz 23;c25-;Zhubný nádor podžalúdkovej žľazy
Skupina onkologických diagnóz 23;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 23;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 23;c62-;Zhubný nádor semenníka
Skupina onkologických diagnóz 23;c762;Zhubný nádor na iných a nepresne určených miestach brucha
Skupina onkologických diagnóz 24;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 24;d12-;Nezhubný nádor hrubého čreva, konečníka, anusu a análneho kanála
Skupina onkologických diagnóz 25;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 25;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 25;c48-;Zhubný nádor retroperitonea a peritonea
Skupina onkologických diagnóz 25;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 25;c495;Zhubný nádor spojivového a mäkkého tkaniva malej panvy
Skupina onkologických diagnóz 25;c66;Zhubný nádor močovodu
Skupina onkologických diagnóz 25;c678;Zhubný nádor močového mechúra presahujúci viaceré oblasti
Skupina onkologických diagnóz 25;c791;Sekundárny zhubný nádor močového mechúra a iných a bližšie neurčených močových orgánov
Skupina onkologických diagnóz 26;c168;Zhubný nádor žalúdka presahujúci viaceré oblasti
Skupina onkologických diagnóz 26;c178;Zhubný nádor tenkého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 26;c180;Zhubný nádor slepého čreva
Skupina onkologických diagnóz 26;c181;Zhubný nádor červovitého prívesku slepého čreva
Skupina onkologických diagnóz 26;c182;Zhubný nádor vzostupnej časti hrubého čreva
Skupina onkologických diagnóz 26;c183;Zhubný nádor pečeňového ohybu hrubého čreva
Skupina onkologických diagnóz 26;c184;Zhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 26;c222;Hepatoblastóm
Skupina onkologických diagnóz 26;c223;Angiosarkóm pečene
Skupina onkologických diagnóz 26;c224;Iný sarkóm pečene
Skupina onkologických diagnóz 26;c23;Zhubný nádor žlčníka
Skupina onkologických diagnóz 26;c248;Zhubný nádor žlčových ciest presahujúci viaceré oblasti
Skupina onkologických diagnóz 26;c258;Zhubný nádor podžalúdkovej žľazy presahujúci viaceré oblasti
Skupina onkologických diagnóz 26;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 26;c498;Zhubný nádor spojivového a mäkkého tkaniva presahujúci viaceré oblasti
Skupina onkologických diagnóz 26;c64;Zhubný nádor obličky okrem obličkovej panvičky
Skupina onkologických diagnóz 26;c65;Zhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 26;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 26;c787;Sekundárny zhubný nádor pečene a vnútropečeňových žlčovodov
Skupina onkologických diagnóz 26;c790;Sekundárny zhubný nádor obličky a obličkovej panvičky
Skupina onkologických diagnóz 27;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 27;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 27;c48-;Zhubný nádor retroperitonea a peritonea
Skupina onkologických diagnóz 27;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 27;c495;Zhubný nádor spojivového a mäkkého tkaniva malej panvy
Skupina onkologických diagnóz 27;c66;Zhubný nádor močovodu
Skupina onkologických diagnóz 27;c678;Zhubný nádor močového mechúra presahujúci viaceré oblasti
Skupina onkologických diagnóz 28;c17-;Zhubný nádor tenkého čreva
Skupina onkologických diagnóz 28;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 28;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 28;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 29;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 29;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 29;c48-;Zhubný nádor retroperitonea a peritonea
Skupina onkologických diagnóz 29;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 29;c495;Zhubný nádor spojivového a mäkkého tkaniva malej panvy
Skupina onkologických diagnóz 29;c678;Zhubný nádor močového mechúra presahujúci viaceré oblasti
Skupina onkologických diagnóz 3;c15-;Zhubný nádor pažeráka
Skupina onkologických diagnóz 3;c16-;Zhubný nádor žalúdka
Skupina onkologických diagnóz 3;c17-;Zhubný nádor tenkého čreva
Skupina onkologických diagnóz 3;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 3;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 3;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 3;c21-;Zhubný nádor anusu a análneho kanála
Skupina onkologických diagnóz 3;c22-;Zhubný nádor pečene a vnútropečeňových žlčových ciest
Skupina onkologických diagnóz 3;c23;Zhubný nádor žlčníka
Skupina onkologických diagnóz 3;c24-;Zhubný nádor iných a bližšie neurčených častí žlčových ciest
Skupina onkologických diagnóz 3;c25-;Zhubný nádor podžalúdkovej žľazy
Skupina onkologických diagnóz 3;c26-;Zhubný nádor iných a nepresne určených tráviacich orgánov
Skupina onkologických diagnóz 3;c49-;Zhubný nádor iného spojivového a mäkkého tkaniva
Skupina onkologických diagnóz 3;c772;Sekundárny a bližšie neurčený zhubný nádor vnútrobrušnej lymfatickej uzliny
Skupina onkologických diagnóz 3;c773;Sekundárny a bližšie neurčený zhubný nádor lymfatických uzlín pazuchy a hornej končatiny
Skupina onkologických diagnóz 3;c78-;Sekundárny zhubný nádor dýchacích a tráviacich orgánov
Skupina onkologických diagnóz 3;c79-;Sekundárny zhubný nádor na iných a bližšie neurčených miestach
Skupina onkologických diagnóz 30;c168;Zhubný nádor žalúdka presahujúci viaceré oblasti
Skupina onkologických diagnóz 30;c178;Zhubný nádor tenkého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 30;c180;Zhubný nádor slepého čreva
Skupina onkologických diagnóz 30;c181;Zhubný nádor červovitého prívesku slepého čreva
