kod_diagnozy;nazov_diagnozy
M0016;Artritída a polyartrit.zapríč.pneumok.v obl.predkol.
M0017;Artritída a polyartrit.zapríč.pneumok.v obl.čl.a nohy
M0018;Artritída a polyartrit.zapríč.pneumok.na i.mieste
M0019;Artritída a polyartrit.zapríč.pneumok.na n.mieste
M0020;Artritída a polyartrit.zapríč.i.streptok.na viac.m.
M0021;Artritída a polyartrit.zapríč.i.streptok.v obl.pleca
M0022;Artritída a polyartrit.zapríč.i.streptok.v obl.nadlaktia
M0023;Artritída a polyartrit.zapríč.i.streptok.v obl.predlak.
M0024;Artritída a polyartrit.zapríč.i.streptok.v obl.ruky
M0025;Artritída a polyartrit.zapríč.i.streptok.panv.obl.a stehna
M0026;Artritída a polyartrit.zapríč.i.streptok.v obl.predkol.
M0027;Artritída a polyartrit.zapríč.i.streptok.v obl.čl.a nohy
M0028;Artritída a polyartrit.zapríč.i.streptok.na i.mieste
M0029;Artritída a polyartrit.zapríč.i.streptok.na n.mieste
M0080;Artritída a polyartrit.zapríč.i.bliž.urč.baktér.viac.mies.
M0081;Artritída a polyartrit.zapríč.i.bliž.urč.baktér.v obl.pleca
M0082;Artritída a polyartrit. zapr.i.bliž.urč.baktér.v obl.nadlaktia
M0083;Artritída a polyartrit. zapr.i.bliž.urč.baktér.v obl.predlak.
M0084;Artritída a polyartrit.zapr.i.bliž.urč.baktér.v obl.ruky
M0085;Artritída a polyartrit.zapr.i.bliž.urč.baktér.panv.obl.a steh.
M0086;Artritída a polyartrit.zapr.i.bliž.urč.baktér.v obl.predkol.
M0087;Artritída a polyartrit.zapr.i.bliž.urč.baktér.v obl.čl.a nohy
M0088;Artritída a polyartrit. zapr.i.bliž.urč.baktér.na i.mieste
M0089;Artritída a polyartrit.zapr.i.bliž.urč.baktér.mies.bliž.urč.
M0100;Artritída zapríč.meningok.na viac.m.
M0101;Artritída zapríč.meningok.v obl.pleca
M0102;Artritída zapríč.meningok.v obl. nadlaktia
M0103;Artritída zapríč.meningok.v obl.predlak.
M0104;Artritída zapríč.meningok.v obl.ruky
M0105;Artritída zapríč.meningok.panv.obl.a stehna
M0106;Artritída zapríč.meningok.v obl.predkol.
M0107;Artritída zapríč.meningok.v obl.čl.a nohy
M0108;Artritída zapríč.meningok.na i.mieste
M0109;Artritída zapríč.meningok.na n. mieste
M0110;Tuberkulózna artritída na viac.m.
M0111;TBC artritída v obl.pleca
M0112;TBC artritída nadlaktia
M0113;TBC artritída predlak.
M0114;TBC artritída ruky
M0115;TBC artritída panv.obl.a stehna
M0116;TBC artritída predkol.
M0117;TBC artritída čl.a nohy
M0118;TBC artritída na i.mieste
M0119;Tuberkulózna artritída na n.mieste
M0130;Artritída pri i.baktér.chor.zatried.i.na viac.m.
M0131;Artritída pri i.baktér.chor.zatried.i.obl.pleca
M0132;Artritída pri i.baktér.chor.zatried.i.v obl.nadlaktia
M0133;Artritída pri i.baktér.chor.zatried.i.v obl.predlak.
M0134;Artritída pri i.baktér.chor.zatried.i.v obl.ruky
M0135;Artritída pri i.baktér.chor.zatried.i.panv.obl.a stehna
M0136;Artritída pri i.baktér.chor.zatried.i.v obl.predkol.
M0137;Artritída pri i.baktér.chor.zatried.i.v obl.čl.a nohy
M0138;Artritída pri i.baktér.chor.zatried.i.na i.mieste
M0139;Artritída pri i.baktér.chor.zatried.i.miesto bližš.neurč.
M0140;Artritída pri ružienke na viac.m.
M0141;Artritída pri ružienke v obl.pleca.
M0142;Artritída pri ružienke v obl.nadlaktia
M0143;Artritída pri ružienke v obl.predlak.
M0144;Artritída pri ružienke v obl.ruky
M0145;Artritída pri ružienke panv.obl.a stehna
M0146;Artritída pri ružienke v obl.predkol.
M0147;Artritída pri ružienke v obl.čl.a nohy
M0148;Artritída pri ružienke na i.mieste
M0149;Artritída pri ružienkena n. mieste
M0160;Artritída pri mykózach na viac.m.
M0161;Artritída pri mykózach v obl.pleca
M0162;Artritída pri mykózach v obl.nadlaktia
M0163;Artritída pri mykózach v obl. predlak.
M0164;Artritída pri mykózach v obl.ruky
M0165;Artritída pri mykózach panv.obl.a stehna
M0166;Artritída pri mykózach v obl.predkol.
M0167;Artritída pri mykózach v obl.čl. a nohy
M0168;Artritída pri mykózach na i.mieste
M0169;Artritída pri mykózach na.mieste
M1010;Dna zapríčinená olovom, na viacerých miestach
M1011;Dna zapríč.olovom,v obl.pleca
M1012;Dna zapríč.olovom,v obl.nadlaktia
M1013;Dna zapríč.olovom,v obl.predlak.
M1014;Dna zapríč.olovom,v obl.ruky
M1015;Dna zapríč.olovom,v obl.panvy a stehna
M1016;Dna zapríč.olovom,v obl.predkol.
M1017;Dna zapríč.olovom,v obl.čl.a nohy
M1018;Dna zapríč.olovom na i.mieste
M1019;Dna zapríčinená olovom,miesto bliž.neurč.
M1020;Dna zapríčinená liekmi, na viacerých miestach
M1021;Dna zapríč.liekmi,v obl.pleca
M1022;Dna zapríč.liekmi,v obl.nadlaktia
M1023;Dna zapríč.liekmi,v obl.predlak.
M1024;Dna zapríč.liekmi,v obl.ruky
M1025;Dna zapríč.liekmi,v obl.panvy a stehna
M1026;Dna zapríč.liekmi,v obl.predkol.
M1027;Dna zapríč.liekmi,v obl.čl. a nohy
M1028;Dna zapríč.liekmi,na i.mieste
M1029;Dna zapríčinená liekmi, miesto bližšie neurčené
M148;Artropatia pri i.bliž.urč.chorobách zatried.i.
M320;Lupus erythematosus, zapríčinený liekmi
M321;Systémový lupus erythematosus s postih.org./systémov
M328;Iná forma systémového lupus erythematosus
M329;Systémový lupus erythematosus,bližšie neurčený
M361;Artropatia pri nádorovej chorobe
M362;Hemofilická artropatia
M363;Artropatia pri i.chorobách krvi zatried.i.
M368;Systémové choroba spojiva pri i.chorobách zatried.i.
M4620;Osteomyelitída stavca na viac.m.chrbt.
M4621;Osteomyelitída stavca v okcip.-atl.-axiál. obl.
M4622;Osteomyelitída stavca v krčnej oblasti
M4623;Osteomyelitída stavca v krčnohrudníkovej oblasti
M4624;Osteomyelitída stavca v hrudníkovej oblasti
M4625;Osteomyelitída stavca v hrudníkovodriekovej oblasti
M4626;Osteomyelitída stavca v driekovej oblasti
M4627;Osteomyelitída stavca v driekovokrížovej oblasti
M4628;Osteomyelitída stavca v kríž.a krížovokostrč.obl.
M4629;Osteomyelitída stavca v: oblasť bližšie neurčená
M4840;Únavová zlomenina stavca na viac.m.chrbt.
M4841;Únavová zlomenina stavca v okcip.atl.axiál.obl.
M4842;Únavová zlomenina stavca v krčnej oblasti
M4843;Únavová zlomenina stavca v krčnohrudníkovej oblasti
M4844;Únavová zlomenina stavca v hrudníkovej oblasti
M4845;Únavová zlomenina stavca v hrudnikovodriek. obl.
M4846;Únavová zlomenina stavca v driekovej oblasti
M4847;Únavová zlomenina stavca v driekovokrížovej oblasti
M4848;Únavová zlomenina stavca v kríž.a krížovokostrč.obl.
M4849;Únavová zlomenina stavca: oblasť bližšie neurčená
M4850;Kompresia tela stavca na v.miest. chrbt.,nezatr.inde
M4851;Kompresia tela stavca v okcip.-atl.-axiál.obl.,nezatr.inde
M4852;Kompresia tela stavca v krčnej obl.,nezatr.inde
M4853;Kompresia tela stavca v krč.hrud.obl.,nezatr.inde
M4854;Kompresia tela stavca v hrud.obl.,nezatr.inde
M4855;Kompresia tela stavca v hrud.driek.obl.,nezatr.inde
M4856;Kompresia tela stavca v driek.obl.,nezatr.inde
M4857;Kompresia tela stavca v driek.kríž.obl.,nezatr.inde
M4858;Kompresia tela stavca v kríž.a kríž.kostrč.obl.,nezatr.inde
M4859;Kompresia tela stavca : oblasť bliž.neurč.,nezatr.inde.
M4950;Kompresia tela stavca pri chorobe zatried.i.,na viac.m.chrbt.
M4951;Kompresia tela stavca pri chorobe zatr.i.,okcip.-atl.axiál.o.
M4952;Kompresia tela stavca pri chorobe zatr.i.,v krčnej obl.
M4953;Kompresia tela stavca pri chorobe zatr.i.,v krčnohrud.obl.
M4954;Kompresia tela stavca pri chorobe zatr.i.,v hrudník.obl.
M4955;Kompresia tela stavca pri chor.zatr.i.,v hrudník.driek.obl.
M4956;Kompresia tela stavca pri chorobe zatr.i.,v driekovej obl.
M4957;Kompresia tela stavca pri chorobe zatr.i.,v driek.kríž.obl.
M4958;Kompresia tela stavca pri chor.zatr.i.,kríž.a kríž.kostrč.obl.
M4959;Kompresia tela stavca pri chor.zatr.i.:oblasť bliž.neurč.
M533;Choroba krížovokostrčovej obl.,nezat.inde
M6015;Intersticiálna myozitída panv.obl.a stehna
M7300;Gonokoková burzitída na viacerých miestach (A54.4†)
M7301;Gonokokov burzitída v obl.pleca
M7302;Gonokokov burzitída nadlaktia
M7303;Gonokokov burzitída predlak.
M7304;Gonokokov burzitída ruky
M7305;Gonokokov burzitída panv.obl.a stehna
M7306;Gonokokov burzitída predkol.
M7307;Gonokokov burzitída čl.a nohy
M7308;Gonokokov burzitída na i.mieste
M7309;Gonokokov burzitída,miesto bliž.neurč.
M8430;Únavová zlomenina,nezatr.i.na viac.m.
M8431;Únavová zlomenina,nezatr.i.v obl.pleca
M8432;Únavová zlomenina,nezatr.i.v obl.nadlaktia
M8433;Únavová zlomenina,nezatr.i.v obl.predlak.
M8434;Únavová zlomenina,nezatr.i.v obl.ruky
M8435;Únavová zlomenina,nezatr.i.v obl.panvy a stehna
M8436;Únavová zlomenina,nezatr.i.v obl.predkol.
M8437;Únavová zlomenina,nezatr.i.v obl.čl.a nohy
M8438;Únavová zlomenina,nezatr.i.na i.mieste
M8439;Únavová zlomenina,nezatr.i.,miesto bliž.neurč.
M8440;Patologická zlomenina,nezatr.i.na viac.m.
M8441;Patologická zlomenina,nezatr.i.v obl.pleca
M8442;Patologická zlomenina,nezatr.i.v obl.nadlaktia
M8443;Patologická zlomenina,nezatr.i.v obl.predlak.
M8444;Patologická zlomenina,nezatr.i.v obl.ruky
M8445;Patologická zlomenina,nezatr.i.v obl.panv.obl.a stehna
M8446;Patologická zlomenina,nezatr.i.v obl.predkol.
M8447;Patologická zlomenina,nezatr.i.v obl.čl.a nohy
M8448;Patologická zlomenina,nezatr.i.na i.mieste
M8449;Patologická zlomenina,nezatr.i.,miesto bliž.neurč.
M8600;Akútna hematogénna osteomyelitída na viac.m.
M8601;Akútna hematogénna osteomyelitída v obl.pleca
M8602;Akútna hematogénna osteomyelitída nadlaktia
M8603;Akútna hematogénna osteomyelitída predlak.
M8604;Akútna hematogénna osteomyelitída ruky
M8605;Akútna hematogénna osteomyelitída panv.obl.a stehna
M8606;Akútna hematogénna osteomyelitída predkol.
M8607;Akútna hematogénna osteomyelitída čl.a nohy
M8608;Akútna hematogénna osteomyelitída na i.mieste
M8609;Akútna hematogénna osteomyelitída,miesto bliž.neurč.
M8610;Iná akútna osteomyelitída na viacerých miestach
M8611;Iná akútna osteomyelitída v obl.pleca
M8612;Iná akútna osteomyelitída nadlaktia
M8613;Iná akútna osteomyelitída predlakútna
M8614;Iná akútna osteomyelitída ruky
M8615;Iná akútna osteomyelitída panv.obl.a stehna
M8616;Iná akútna osteomyelitída predkol.
M8617;Iná akútna osteomyelitída l.a nohy
M8618;Iná akútna osteomyelitída na i.mieste
M8619;Iná akútna osteomyelitída,miesto bliž.neurč.
M8620;Subakútna osteomyelitída na viacerých miestach
M8621;Subakútna osteomyelitída v obl.pleca
M8622;Subakútna osteomyelitída nadlaktia
M8623;Subakútna osteomyelitída predlak.
M8624;Subakútna osteomyelitída ruky
M8625;Subakútna osteomyelitída panv.obl.a stehna
M8626;Subakútna osteomyelitída predkol.
M8627;Subakútna osteomyelitída čl.a nohy
M8628;Subakútna osteomyelitída na i.mieste
M8629;Subakútna osteomyelitída,miesto bliž.neurč.
M8630;Chron.multifokálna osteomyelitída na viac.m.
M8631;Chron.multifokálna osteomyelitída v obl.pleca
M8632;Chron.multifokálna osteomyelitída nadlaktia
M8633;Chron.multifokálna osteomyelitída predlak.
M8634;Chron.multifokálna osteomyelitída ruky
M8635;Chron.multifokálna osteomyelitída panv.obl.a stehna
M8636;Chron.multifokálna osteomyelitída predkol.
M8637;Chron.multifokálna osteomyelitída čl.a nohy
M8638;Chron.multifokálna osteomyelitída na i.mieste
M8639;Chron.multifokálna osteomyelitída,miesto bliž.neurč.
M8640;Chronická osteomyelitída s fistulou na viac.m.
M8641;Chronická osteomyelitída s fistulou v obl.pleca
M8642;Chronická osteomyelitída s fistulou nadlaktia
M8643;Chronická osteomyelitída s fistulou predlak.
M8644;Chronická osteomyelitída s fistulou ruky
M8645;Chronická osteomyelitída s fistulou panv.obl.a stehna
M8646;Chronická osteomyelitída s fistulou predkol.
M8647;Chronická osteomyelitída s fistulou čl.a nohy
M8648;Chronická osteomyelitída s fistulou na i.mieste
M8649;Chronická osteomyelitída s fistulou,miesto bliž.neurč.
M8650;Iná chronická hematogénna osteomyelit.na viac.m.
M8651;Iná chronická hematogénna osteomyelit.v obl.pleca
M8652;Iná chronická hematogénna osteomyelit.nadlaktia
M8653;Iná chronická hematogénna osteomyelit.predlak.
M8654;Ináchronická hematogénna osteomyelit.ruky
M8655;Iná chronická hematogénna osteomyelit.panv.obl.a stehna
M8656;Iná chronická hematogénna osteomyelit.predkol.
M8657;Iná chronická hematogénna osteomyelit.čl.a nohy
M8658;Iná chronická hematogénna osteomyelit.na i.mieste
M8659;Iná chronická hematogénna osteomyelit.,miesto bliž.neurč.
M8660;Iná chronická osteomyelitída na viacerých miestach
M8661;Iná chronická osteomyelitída v obl.pleca
M8662;Iná chronická osteomyelitída nadlaktia
M8663;Iná chronická osteomyelitída predlak.
M8664;Iná chronická osteomyelitída ruky
M8665;Iná chronická osteomyelitída panv.obl.a stehna
M8666;Iná chronická osteomyelitída predkol.
M8667;Iná chronická osteomyelitída čl.a nohy
M8668;Iná chronická osteomyelitída na i.mieste
M8669;Iná chronická osteomyelitída,miesto bliž.neurč.
M8680;Iná osteomyelitída na viacerých miestach
M8681;Iná osteomyelitída v obl.pleca
M8682;Iná osteomyelitída nadlaktia
M8683;Ináosteomyelitída predlak.
M8684;Iná osteomyelitída ruky
M8685;Iná osteomyelitída panv.obl.a stehna
M8686;Iná osteomyelitída predkol.
M8687;Iná osteomyelitída čl.a nohy
M8688;Iná osteomyelitídana i.mieste
M8689;Iná osteomyelitída,miesto bliž.neurč.
M8690;Osteomyelitída,bliž.neurč.na viac.m.
M8691;Osteomyelitída,bliž.neurč.v obl.pleca
M8692;Osteomyelitída,bliž.neurč.v obl.nadlaktia
M8693;Osteomyelitída,bliž.neurč.v obl.predlak.
M8694;Osteomyelitída,bliž.neurč.v obl.ruky
M8695;Osteomyelitída,bliž.neurč.panv.obl.a stehna
M8696;Osteomyelitída,bliž.neurč.v obl.predkol.
M8697;Osteomyelitída,bliž.neurč.v obl.čl.a nohy
M8698;Osteomyelitída,bliž.neurč.na i.mieste
M8699;Osteomyelitída,bliž.neurč.n,miesto bliž.neurč.
M8702;Idiopat.aseptická nekróza kosti nadlaktia
M8705;Idiopat.aseptická nekróza kosti panv.obl.a stehna
M8706;Idiopat.aseptická nekróza kosti predkol.
M8707;Idiopat.aseptická nekróza kosti čl.a nohy
M8709;Idiopat.aseptická nekróza kosti ,miesto bliž.neurč.
M8710;Osteonekróza zapríč.liekmi,na viac.m.
M8711;Osteonekróza zapríč.liekmi,v obl.pleca
M8712;Osteonekróza zapríč.liekmi,v obl.nadlaktia
M8713;Osteonekróza zapríč.liekmi,v obl.predlak.
M8714;Osteonekróza zapríč.liekmi,v obl.ruky
M8715;Osteonekróza zapríč.liekmi,panv.obl.a stehna
M8716;Osteonekróza zapríč.liekmi,v obl.predkol.
M8717;Osteonekróza zapríč.liekmi,v obl.čl.a nohy
M8718;Osteonekróza zapríč.liekmi,na i.mieste
M8719;Osteonekróza zapríč.liekmi,miesto bliž.neurč.
M8720;Osteonekróza zapríč.predchádz.úrazom,na viac.m.
M8721;Osteonekróza zapríč.predchádz.úrazom,v obl.pleca
M8722;Osteonekróza zapríč.predchádz.úrazom,nadlaktia
M8723;Osteonekróza zapríč.predchádz.úrazom,predlak.
M8724;Osteonekróza zapríč.predchádz.úrazom,ruky
M8725;Osteonekróza zapríč.predchádz.úrazom,panv.obl.a stehna
M8726;Osteonekróza zapríč.predchádz.úrazom,predkol.
M8727;Osteonekróza zapríč.predchádz.úrazom,čl.a nohy
M8728;Osteonekróza zapríč.predchádz.úrazom,na i.mieste
M8729;Osteonekróza zapríč.predchádz.úrazom,miesto bliž.neurč.
M8730;Iná sekundárna osteonekróza na viacerých miestach
M8731;Iná sekundárna osteonekróza v obl.pleca
M8732;Iná sekundárna osteonekróza nadlaktia
M8733;Iná sekundárna osteonekróza predlak.
M8734;Iná sekundárna osteonekróza ruky
M8735;Iná sekundárna osteonekróza panv.obl.a stehna
M8736;Iná sekundárna osteonekróza predkol.
M8737;Iná sekundárna osteonekróza čl.a nohy
M8738;Iná sekundárna osteonekróza na i.mieste
M8739;Iná sekundárna osteonekróza,miesto bliž.neurč.
M8780;Iná osteonekróza na viacerých miestach
M8781;Iná osteonekróza v obl.pleca
M8782;Iná osteonekróza nadlaktia
M8783;Iná osteonekróza predlak.
M8784;Iná osteonekróza ruky
M8785;Iná osteonekróza panv.obl.a stehna
M8786;Iná osteonekróza predkol.
M8787;Iná osteonekróza čl.a nohy
M8788;Iná osteonekróza na i.mieste
M8789;Iná osteonekróza,miesto bližšie neurčené
M8790;Osteonekróza,bliž.neurč.na viac.m.
M8791;Osteonekróza,bliž.neurč.v obl.pleca
M8792;Osteonekróza,bliž.neurč.v obl.nadlaktia
M8793;Osteonekróza,bliž.neurč.v obl.predlak.
M8794;Osteonekróza,bliž.neurč.v obl.ruky
M8795;Osteonekróza,bliž.neurč.panv.obl.a stehna
M8796;Osteonekróza,bliž.neurč.v obl.predkol.
M8797;Osteonekróza,bliž.neurč.v obl.čl.a nohy
M8798;Osteonekróza,bliž.neurč.na i.mieste
M8799;Osteonekróza,bliž.neurč.,miesto bliž.neur.
M9000;Tuberkulóza kosti na viacerých miestach (A18.0†)
M9001;TBC kosti v obl.pleca
M9002;TBC kosti nadlaktia
M9003;TBC kosti predlak.
M9004;TBC kosti ruky
M9005;TBC kosti panv.obl.a stehna
M9006;TBC kosti predkol.
M9007;TBC kosti čl.a nohy
M9008;TBC kosti na i.mieste
M9009;Tuberkulóza kosti,miesto bližšie neurčené (A18.0†)
M9010;Periostitída pri i.infekč.chor.zatried.i.na viac.m.
M9011;Periostitída pri i.infekč.chor.zatried.i.v obl.pleca
M9012;Periostitída pri i.infekč.chor.zatried.i.v obl.nadlaktia
M9013;Periostitída pri i.infekč.chor.zatried.i.v obl.predlak.
M9014;Periostitída pri i.infekč.chor.zatried.i.v obl.ruky
M9015;Periostitída pri i.infekč.chor.zatried.i.v obl.panvy a stehna
M9016;Periostitída pri i.infekč.chor.zatried.i.v obl.predkol.
M9017;Periostitída pri i.infekč.chor.zatried.i.v obl.čl.a nohy
M9018;Periostitída pri i.infekč.chor.zatried.i.na i.mieste
M9019;Periostitída pri i.infekč.chor.zatried.i.,miesto bliž.neurč.
M9020;Osteopatia pri i.infekč.chor.zatried.i.na viac.m.
M9021;Osteopatia pri i.infekč.chor.zatried.i.v obl.pleca
M9022;Osteopatia pri i.infekč.chor.zatried.i.v obl.nadlaktia
M9023;Osteopatia pri i.infekč.chor.zatried.i.v obl.predlak.
M9024;Osteopatia pri i.infekč.chor.zatried.i.v obl.ruky
M9025;Osteopatia pri i.infekč.chor.zatried.i.v obl.panvy a stehna
M9026;Osteopatia pri i.infekč.chor.zatried.i.v obl.predkol.
M9027;Osteopatia pri i.infekč.chor.zatried.i. obl.čl.a nohy
M9028;Osteopatia pri i.infekč.chor.zatried.i.na i.mieste
M9029;Osteopatia pri i.infekč.chor.zatried.i.miesto bliž.neurč.
M9070;Zlomenina kosti pri nádore,na viac.m.t.
M9071;Zlomenina kosti pri nádore,v obl.pleca
M9072;Zlomenina kosti pri nádore,v obl.nadlaktia
M9073;Zlomenina kosti pri nádore,v obl.predlak.
M9074;Zlomenina kosti pri nádore,v obl.ruky
M9075;Zlomenina kosti pri nádore,v obl.panvy a stehna
M9076;Zlomenina kosti pri nádore,v obl.predkol.
M9077;Zlomenina kosti pri nádore,v obl.čl.a nohy
M9078;Zlomenina kosti pri nádore,na i.mieste
M9079;Zlomenina kosti pri nádore,miesto bliž.neurč.
M966;Zlomen.kosti po vlož.ortop.impl.,kĺb.protézy/kostnej platničky
M9680;Elektívne ponechané otvor.sternum po chirurg.výk.na hrudníku
M9681;Nestabilný hrudný kôš po chir.výk. na hrudníku
M9688;Iná choroba sústavy sval.a kostí po lek.výk.
M969;Choroba svalovej a kostrovej sústavy po lekár.výk.bliž.neurč.
N036;Chron.nefritický synd.:chor.denzných depozitov
N040;Nefrotický syndróm:malé abnormality glomerulov
N041;Nefrotický synd.:fok.a segm.lézie glomerulov
N042;Nefrotický synd.:dif.membránová glomerulonefrit.
N043;Nefrotický synd.:dif.mezangioprolif.glomerulonefrit.
N044;Nefrotický synd.:dif.endokap.prolif.glomerulonefrit.
N045;Nefrotický synd.:dif.mezangiokap.glomerulonefrit.
N046;Nefrotický syndróm: choroba denzných depozitov
N047;Nefrotický synd.:dif.glomerulonefrit.s výrastkami
N048;Nefrotický syndróm: iné morfologické zmeny
N049;Nefrotický synd.:morfol.zmena,bliž.neurč.
N083;Glomerul.choroba pri DM
N10;Akútna tubulointersticiálna nefritída
N12;Tubulointersticiálna nefritída,n.ako akút.,/chron.
N135;Zalomenie a striktúra močovodu bez hydronefrózy
N138;Iná obštrukčná a refluxová uropatia
N139;Obštrukčná a refluxová uropatia, bližšie neurčená
N1510;Absces obličky
N1511;Perinefritický absces
N170;Akútne zlyhanie obličiek s tubulovou nekrózou
N171;Akútne zlyhanie obličiek s akútnou kortikálnou nekrózou
N172;Akútne zlyhanie obličiek s dreňovou nekrózou
N178;Iné akútne zlyhanie obličiek
N179;Akútne zlyhanie obličiek,bližšie neurčené
N181;Chronická choroba obličiek,1.štádium
N182;Chronická choroba obličiek,2.štádium
N183;Chronická choroba obličiek,3.štádium
N184;Chronická choroba obličiek,4.štádium
N1880;Jednostranná chronická porucha funkcie obličky
N1889;Iná chronická choroba obličiek,štádium,b.n.
N189;Chronická choroba obličiek,bližšie neurčená
N19;Zlyhanie obličiek,bližšie neurčené
N200;Konkrement obličky
N202;Konkrement obličky s konkrementom močovodu
N251;Nefrogénny diabetes insipidus
N280;Ischémia a infarkt obličky
N321;Vezikointestinálna fistula
N322;Fistula močového mechúra,nezatriedená inde
N323;Divertikul močového mechúra
N324;Ruptúra močového mechúra,neúrazová
N340;Absces močovej rúry
N358;Iná striktúra uretry
N360;Fistula uretry
N361;Divertikul uretry
N390;Infekcia močovej sústavy,miesto bližšie neurčené
N431;Infikovaná hydrokéla
N440;Torzia semenníka
N441;Torzia hidatídy [Morgagni]
N450;Orchitída,epididymitída a epididymoorchitída s abscesom
N764;Absces vulvy
N820;Vezikovaginálna fistula
N821;Iná fistula medzi ženskými moč.a pohlav.oránmi
N822;Fistula medzi pošvou a tenkým črevom
N823;Fistula medzi pošvou a hrubým črevom
N824;Iná fistula medzi ženskými pohlav.org.a črevom
N825;Fistula medzi ženskými pohlavnými orgánmi a kožou
N828;Iná fistula ženských pohlavných orgánov
N829;Fistula ženských pohlavných orgánov,bliž.neurč.
N835;Torzia vaječníka, topky vaječníka a vajíčkovodu
N991;Striktúra uretry po lekárskom výkone
P021;Pošk.plodu a novorod.i.form.odlúpenia placenty a krvác.
P031;Pošk.plod a nov.i.nepr.nalie.,drž.tela,pol.,disp.,poč.pôr.čin.
P040;Pošk.plodu a novorod.anest.,analg.m.v grav.poč.pôr.čin.a pôr.
P100;Subdurálne kvácanie zapríč.poran.pri pôrode
P101;Mozgové krvácanie zapríčinené poranením pri pôrode
P102;Vnútrokomorové kvácanie zapríč.poran.pri pôrode
P103;Subarachnoidálne kvácanie zapríč.poran.pri pôrode
P104;Roztrhnutie tentória zapríč.poran.pri pôrode
P108;Iné vnútroleb.poran.a kvácania zapríč.poran.pri pôrode
P109;Bliž.neur.vnútroleb.poran.a kvácanie zapríč.poran. pri pôrode
P111;Iné poškodenie mozgu,zapríč.poran.pri pôrode,b.u.
P112;Bliž.neur.poškodenie mozgu,zapríč.poran.pri pôrode
P156;Nekróza podkožného tuku,zapríč.poran. ri pôrode
P200;Vnútromat.hypoxia zaznamen.po prvýkrát pred zač.pôr.čin.
P220;Synd.respiračnej tiesne novorod.
P230;Vrodený zápal pľúc,zapríčinený vírusom
P231;Vrodený zápal pľúc,zapríčinený chlamýdiou
P232;Vrodený zápal pľúc,zapríčinený stafylokokom
P233;Vrodený zápal pľúc,zapr.streptok.skupiny B
P234;Vrodený zápal pľúc,zapríčinený Escherichia coli
P235;Vrodený zápal pľúc,zapríčinený pseudomonas
P236;Vrodený zápal pľúc,zapríčinený inou baktériou
P238;Vrodený zápal pľúc,zapríčinený iným organizmom
P239;Vrodený zápal pľúc,bližšie neurčený
P240;Novorodenecká aspirácia smolky
P241;Novorodenecká aspirácia plodovej vody a hlienu
P242;Novorodenecká aspirácia krvi
P243;Novorod.aspirácia mlieka a regurgitovanej potravy
P248;Iný novorodenecký syndróm z aspirácie
P249;Novorodenecký syndróm z aspirácie,bližšie neurčený
P250;Interstic.emfyzém so vznikom v perinatálnom obd.
P251;Pneumotorax so vznikom v perinatálnom období
P252;Pneumomediastínum so vznikom v perinatálnom období
P253;Pneumoperikard so vznikom v perinatálnom období
P258;Iné stavy súvis.s interstic.emfyz.so vznik.v perinat.obd.
P260;Tracheobronchiálne krvácanie so vznik.v perinat.obd.
P261;Masívne pľúcne krvác.so vznikom v perinat.obd.
P268;Iné pľúcne krvác.so vznikom v perinat.období
P269;Pľúcne krvác.so vznik.v perinat.období.b.n.
P270;Wilsonov-Mikityho syndróm
P271;Bronchopulmonálna dysplázia so vznik.v perin.obd.
P278;Iná chronická respirač.chor.so vznik.v perinatál.obd.
P279;Bliž.neurč.chron.respirač.choroba so vznikom v perinat.období
P285;Respiračné zlyhanie novorodenca
P290;Srdcové zlyhávanie u novorodenca
P350;Rubeolová embryopatia
P351;Vrodená cytomegalovírusová infekcia
P352;Vrodená infekcia vírusom herpes simplex
P353;Vrodená vírusová hepatitída
P358;Iná vrodená vírusová choroba
P359;Vrodená vírusová choroba,bližšie neurčená
P360;Sepsa u novorod.zapríč.sterpt.zo skupiny B
P361;Sepsa u novorod.zapríč.i.a b.n.sterpt.
P362;Sepsa u novorod.zapríč.staphylococcus aureus
P363;Sepsa u novorod.zapríč.i.a bliž.neirč.stafylokokom
P364;Sepsa u novorodenca,zapríčinená escherichia coli
P365;Sepsa u novorod.zapríč.anaeróbnym mikroorganizmom
P368;Iná baktériová sepsa u novorodenca
P369;Baktériová sepsa u novorodenca,bližšie neurčená
P370;Vrodená tuberkulóza
P371;Vrodená toxoplazmóza
P372;Novorodenecká (diseminovaná) listerióza
P373;Vrodená malária plasmodium falciparum
P374;Iná vrodená malária
P378;Iná vrodená infekčná a parazit.choroba,b.u.
P379;Vrod.infekčná/parazitová choroba,b.n.
P520;Vnútrokomorové(neúraz.)krvác.plodu a novorod.1.st.
P521;Vnútrokomorové(neúraz.)krvác.plodu a novorod.2.st.
P522;Vnútrokomorové(neúraz.)krvác.plodu a novorod.3.st.
P523;Vnútrokomorové(neúraz.)krvác.plodu a novorod.,b.n.
P525;Subarachnoidálne (neúraz.)krvác.plodu a novorod.
P53;Hemoragická choroba plodu a novorodenca
P544;Krvácanie do nadobličky u novorodenca
P560;Hydrops plodu v dôsledku izoimunizácie
P569;Hydrops plodu v dôsl.i.a b.n.hemolytickej chor.
P570;Jadrový ikterus v dôsledku izoimunizácie
P578;Iný jadrový ikterus,bližšie určený
P579;Jadrový ikterus,bližšie neurčený
